IČO organizace:2;Název organizace:;Právní forma:;Velikostní kategorie:;Adresa:;Kraj:;Okres:;Obec:;Datum vzniku:;Rok vzniku:;Instituce v likvidaci:;Činnost:;Obor:;Nadační kapitál:;Statutární orgán:;Zakladatel:;Počet pobočných spolků:;Popis účelu:;Živnostenské oprávnění:;X:;Y:;GlobalID;x;y
499773;Československá skateboardová asociace;Spolek;Neuvedeno;Praha, 11000, Nové Město (Praha 1), Senovážné náměstí 977/24;Hlavní město Praha;Praha;Praha;10/04/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,431";"50,085";9b5b4921-f5ce-41cb-a8f8-2a695650bc9f;"14,431";"50,085"
465968;OBEC BARÁČNÍKŮ PRUNÉŘOV;Pobočný spolek;Neuvedeno;Klášterec nad Ohří, Vernéřov;Ústecký kraj;Chomutov;Klášterec nad Ohří;01/05/1982;"1 982";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"13,222";"50,41";52f67d29-3a8f-4f49-9f28-2dc3bf5fc848;"13,222";"50,41"
499811;Centrum pro dětský sluch Tamtam, o.p.s.;Obecně prospěšná společnost;50 - 99 zaměstnanců;Praha, 15500, Stodůlky (Praha 13), Hábova 1571/22;Hlavní město Praha;Praha;Praha;23/03/1990;"1 990";aktivní;SOCIÁLNÍ PÉČE;Sociální služby;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,312";"50,046";3760b3f2-7bd8-4d74-90d1-0851a39d27b4;"14,312";"50,046"
539392;Kulturní a tisková agentura mládeže - KTAM v likvidaci;Spolek;Neuvedeno;Praha;Hlavní město Praha;Praha;Praha;06/06/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,434";"50,084";d9d315b7-7342-4395-b8bc-41a2a31713e3;"14,434";"50,084"
512907;TJ Jiskra Třeboň, z.s.;Spolek;1 - 5 zaměstnanců;Třeboň, 37901, Třeboň II, Jiráskova 444;Jihočeský kraj;Jindřichův Hradec;Třeboň;21/09/1992;"1 992";aktivní;Sportovní služby;Sport;není k dispozici;Statutární orgán - předseda a místopředsedové;není k dispozici;0;Organizace sportovní činnosti a rozvoj jednotlivých pobočných spolků. Správa a ochrana movitého a nemovitého majetku a hospodaření s ním v zájmu TJ Jiskra Třeboň. Provozování obchodní činnosti a služeb. Vytváření podmínek pro další rozvoj TJ. Vydávání základních organizačních, metodických a ekonomických pokynů v rámci TJ. Zastupování TJ v České Unii Sportu a spolupráce s dalšími organizacemi a institucemi.;ANO;"14,769";"49,007";25c209cc-5f75-4532-ba0d-9ae56bd77cdd;"14,769";"49,007"
530905;Tělocvičná jednota Sokol Znojmo;Pobočný spolek;Neuvedeno;Znojmo, 66902, Znojmo, Sokolská 1272/12;Jihomoravský kraj;Znojmo;Znojmo;03/05/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"16,052";"48,86";fbdaa916-db45-4083-8aaa-cb13206e14c9;"16,052";"48,86"
465976;OBEC BARÁČNÍKŮ JABLONEC NAD NISOU;Pobočný spolek;Neuvedeno;Jablonec nad Nisou,;Liberecký kraj;Jablonec nad Nisou;Jablonec nad Nisou;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"15,171";"50,724";70d89bf6-0c89-431a-90f1-de3a8942ac9e;"15,171";"50,724"
476684;Cisterciácké opatství Vyšší Brod;Evidované církevní právnické osoby;10 - 19 zaměstnanců;Vyšší Brod, 38273, Vyšší Brod, Klášter 137;Jihočeský kraj;Český Krumlov;Vyšší Brod;01/10/1990;"1 990";aktivní;NÁBOŽENSTVÍ;Náboženství a církve;není k dispozici;není k dispozici;Církev římskokatolická, Thákurova 676/3, Praha 6-Dejvice, 16000, IČ 73632848;není k dispozici;není k dispozici;ANO;"14,307";"48,621";ba607044-2162-4c12-b47d-8dc1bd41d50c;"14,307";"48,621"
539431;SVAZ MLADÝCH ČR - KOORDINAČNÍ CENTRUM;Pobočný spolek;Neuvedeno;Praha, 11000, Staré Město, Staroměstské náměstí 551/17;Hlavní město Praha;Praha;Praha;13/01/1990;"1 990";aktivní;Mimoškolní vzdělávání dětí a mládeže;Vzdělávání;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,422";"50,087";f3d97122-84e3-4420-87c9-bbe5c5de530f;"14,422";"50,087"
530913;Tělocvičná jednota Sokol Kyjov;Pobočný spolek;1 - 5 zaměstnanců;Kyjov, 69701, Kyjov, třída Komenského 689/59;Jihomoravský kraj;Hodonín;Kyjov;07/09/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"17,125";"49,016";f0c6817d-585f-40d1-820e-9dc70757755f;"17,125";"49,016"
482722;Český rybářský svaz, z. s., místní organizace Most;Pobočný spolek;1 - 5 zaměstnanců;Most, 43401, Most, tř. Budovatelů 2931/156;Ústecký kraj;Most;Most;01/06/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"13,637";"50,499";9d2e54c9-8574-4602-81d5-67fc5dac5ed0;"13,637";"50,499"
